0000025232,COUSINS PROPERTIES INC,GA
0001369750,CPA:14 Holdings Inc.,NY
0001002235,CPG PARTNERS LP,NJ
0001035426,CRESCENT OPERATING INC,TX
0000918958,CRESCENT REAL ESTATE EQUITIES CO,TX
0001467027,CreXus Investment Corp.,NY
0000850143,CRI LIQUIDATING REIT INC,MD
0000847322,CRIIMI MAE INC,MD
0000893181,CROCKER REALTY INVESTORS INC,FL
0000905134,CROWN AMERICAN REALTY TRUST,PA
0001051470,CROWN CASTLE INTERNATIONAL CORP,TX
0001609942,Crown Castle REIT Inc.,TX
0000835664,CRT PROPERTIES INC,FL
0001344705,"Crystal River Capital, Inc.",NY
0001298675,CubeSmart,PA
0001300485,"CubeSmart, L.P.",PA
0001330969,"CV HOLDINGS, INC.",CA
0000018934,CV REIT INC,FL
0001439083,CWCapital Realty Trust Inc.,NY
0001553023,CyrusOne Inc.,TX
0001575810,CyrusOne LP,TX
0001396446,"CYS Investments, Inc.",MA
0001036263,D&N CAPITAL CORP,MI
0001074922,DAKOTA REAL ESTATE INVESTMENT TRUST,ND
0001289842,DASCO Medical Properties Trust,FL
0001020944,DAWSON G STEVEN,
0001604042,DCT Industrial Operating Partnership LP,CO
0001170991,DCT Industrial Trust Inc.,CO
0000716933,DELCOTT COMMODITY PARTNERS,TN
0001223667,DELPHI PROPERTIES INC,MI
0000028238,DERAND REAL ESTATE INVESTMENT TRUST,NY
0001274055,DESERT CAPITAL REIT INC,NV
0001750695,"DF Growth REIT, LLC",CA
0001298946,DiamondRock Hospitality Co,MD
0001297996,"DIGITAL REALTY TRUST, INC.",CA
0000923660,DIVERSIFIED MULTI-ADVISOR FUTURES FUND L.P. II,NY
0001488546,"DLC Realty Trust, Inc.",
0001364250,Douglas Emmett Inc,CA
0001175483,Drive Shack Inc.,NY
0000783280,DUKE REALTY CORP,IN
0001418175,DuPont Fabros Technology LP,DC
0000215639,DVL INC /DE/,NY
0000826675,DYNEX CAPITAL INC,VA
0001289169,"Eagle Hospitality Properties Trust, Inc.",KY
0001622194,"Easterly Government Properties, Inc.",DC
0001021422,"EASTERN LIGHT CAPITAL, INC.",CA
0000049600,EASTGROUP PROPERTIES INC,MS
0001059926,EBS BUILDING LLC,MO
0001300317,ECC Capital CORP,CA
0001499043,"ECM Realty Trust, Inc.",IL
0001302343,"Education Realty Trust, Inc.",TN
0001043236,ELDERTRUST,KY
0001174175,ElderTrust Operating Limited Partnership,KY
0001567714,Ellington Housing Inc.,CT
0001560672,Ellington Residential Mortgage REIT,CT
0001553079,"Empire State Realty OP, L.P.",NY
0001541401,"Empire State Realty Trust, Inc.",NY
0001406391,Enterprise Acquisition Corp.,FL
0001498366,Eola Property Trust,FL
0001043866,EOP OPERATING LTD PARTNERSHIP,IL
0001045450,EPR PROPERTIES,MO
0001561492,"EPT South Barrington, Inc.",MO
0000755926,EQK REALTY INVESTORS I,GA
0001101239,EQUINIX INC,CA
0001565237,EquiTrust USA,GA
0000803649,Equity Commonwealth,IL
0001166217,EQUITY FOCUS TRUSTS REIT PORTFOLIO SERIES 2002-A,NY
0000895417,EQUITY LIFESTYLE PROPERTIES INC,IL
0001038339,EQUITY OFFICE PROPERTIES TRUST,IL
0001042810,"EQUITY ONE, INC.",FL
0000906107,EQUITY RESIDENTIAL,IL
0000931182,ERP OPERATING LTD PARTNERSHIP,IL
0001728951,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",NJ
0001053059,ESSEX PORTFOLIO LP,CA
0000920522,"ESSEX PROPERTY TRUST, INC.",CA
0001575438,"ETRE REIT, LLC",NY
0001642382,"ETRE Residential, LLC",NY
0000925267,EVANS WITHYCOMBE RESIDENTIAL INC,AZ
0001332551,Exantas Capital Corp.,NY
0001478950,"Excel Trust, Inc.",CA
0001012881,EXTENDICARE REAL ESTATE INVESTMENT TRUST,A6
0001289490,Extra Space Storage Inc.,UT
0001591670,Farmland Partners Inc.,CO
0001073208,FBR ASSET INVESTMENT CORP/VA,VA
